State,Week,Value
Idaho,22/12/2005,0
Idaho,30/12/2005,0
Idaho,06/01/2006,0
Idaho,13/01/2006,0
Idaho,20/01/2006,0
Idaho,27/01/2006,0
Idaho,03/02/2006,0
Idaho,10/02/2006,0
Idaho,17/02/2006,0
Idaho,24/02/2006,0
Idaho,03/03/2006,0
Idaho,10/03/2006,0
Idaho,17/03/2006,0
Idaho,24/03/2006,0
Idaho,31/03/2006,0
Idaho,07/04/2006,0
Idaho,13/04/2006,0
Idaho,21/04/2006,0
Idaho,28/04/2006,0
Idaho,05/05/2006,0
Idaho,12/05/2006,0
Idaho,19/05/2006,0
Idaho,26/05/2006,0
Idaho,02/06/2006,0
Idaho,09/06/2006,0
Idaho,16/06/2006,0
Idaho,23/06/2006,0
Idaho,30/06/2006,0
Idaho,07/07/2006,0
Idaho,14/07/2006,0
Idaho,21/07/2006,0
Idaho,28/07/2006,0
Idaho,04/08/2006,0
Idaho,11/08/2006,0
Idaho,18/08/2006,0
Idaho,25/08/2006,1
Idaho,01/09/2006,0
Idaho,08/09/2006,1
Idaho,15/09/2006,1
Idaho,22/09/2006,1
Idaho,29/09/2006,1
Idaho,06/10/2006,1
Idaho,13/10/2006,1
Idaho,20/10/2006,1
Idaho,27/10/2006,0
Idaho,03/11/2006,1
Idaho,10/11/2006,1
Idaho,17/11/2006,1
Idaho,22/11/2006,1
Idaho,01/12/2006,1
Idaho,08/12/2006,1
Idaho,15/12/2006,1
Idaho,22/12/2006,1
Idaho,29/12/2006,1
Idaho,05/01/2007,1
Idaho,12/01/2007,1
Idaho,19/01/2007,1
Idaho,26/01/2007,1
Idaho,02/02/2007,1
Idaho,09/02/2007,1
Idaho,16/02/2007,1
Idaho,23/02/2007,1
Idaho,02/03/2007,1
Idaho,09/03/2007,1
Idaho,16/03/2007,1
Idaho,23/03/2007,1
Idaho,30/03/2007,1
Idaho,06/04/2007,1
Idaho,13/04/2007,1
Idaho,20/04/2007,1
Idaho,27/04/2007,1
Idaho,04/05/2007,0
Idaho,11/05/2007,0
Idaho,18/05/2007,0
Idaho,25/05/2007,0
Idaho,01/06/2007,0
Idaho,08/06/2007,0
Idaho,15/06/2007,0
Idaho,22/06/2007,0
Idaho,29/06/2007,0
Idaho,06/07/2007,0
Idaho,13/07/2007,0
Idaho,20/07/2007,0
Idaho,27/07/2007,0
Idaho,03/08/2007,0
Idaho,10/08/2007,0
Idaho,17/08/2007,0
Idaho,24/08/2007,0
Idaho,31/08/2007,0
Idaho,07/09/2007,0
Idaho,14/09/2007,0
Idaho,21/09/2007,0
Idaho,28/09/2007,0
Idaho,05/10/2007,0
Idaho,12/10/2007,0
Idaho,19/10/2007,0
Idaho,26/10/2007,0
Idaho,02/11/2007,0
Idaho,09/11/2007,0
Idaho,16/11/2007,0
Idaho,21/11/2007,0
Idaho,30/11/2007,0
Idaho,07/12/2007,0
Idaho,14/12/2007,0
Idaho,21/12/2007,0
Idaho,28/12/2007,0
Idaho,04/01/2008,0
Idaho,11/01/2008,0
Idaho,18/01/2008,0
Idaho,25/01/2008,0
Idaho,01/02/2008,0
Idaho,08/02/2008,0
Idaho,15/02/2008,0
Idaho,22/02/2008,0
Idaho,29/02/2008,0
Idaho,07/03/2008,0
Idaho,14/03/2008,0
Idaho,21/03/2008,0
Idaho,28/03/2008,0
Idaho,04/04/2008,0
Idaho,11/04/2008,0
Idaho,18/04/2008,0
Idaho,25/04/2008,0
Idaho,02/05/2008,0
Idaho,09/05/2008,0
Idaho,16/05/2008,0
Idaho,23/05/2008,0
Idaho,30/05/2008,0
Idaho,06/06/2008,0
Idaho,13/06/2008,0
Idaho,20/06/2008,0
Idaho,27/06/2008,0
Idaho,04/07/2008,0
Idaho,11/07/2008,0
Idaho,18/07/2008,0
Idaho,25/07/2008,0
Idaho,01/08/2008,0
Idaho,08/08/2008,0
Idaho,15/08/2008,0
Idaho,22/08/2008,0
Idaho,29/08/2008,0
Idaho,05/09/2008,0
Idaho,12/09/2008,0
Idaho,19/09/2008,0
Idaho,26/09/2008,0
Idaho,03/10/2008,0
Idaho,10/10/2008,0
Idaho,17/10/2008,0
Idaho,24/10/2008,0
Idaho,31/10/2008,0
Idaho,07/11/2008,0
Idaho,14/11/2008,0
Idaho,21/11/2008,0
Idaho,26/11/2008,0
Idaho,05/12/2008,0
Idaho,12/12/2008,0
Idaho,19/12/2008,0
Idaho,26/12/2008,0
Idaho,02/01/2009,0
Idaho,09/01/2009,0
Idaho,16/01/2009,0
Idaho,23/01/2009,0
Idaho,30/01/2009,0
Idaho,06/02/2009,0
Idaho,13/02/2009,0
Idaho,20/02/2009,0
Idaho,27/02/2009,0
Idaho,06/03/2009,0
Idaho,13/03/2009,0
Idaho,20/03/2009,0
Idaho,27/03/2009,0
Idaho,03/04/2009,0
Idaho,09/04/2009,0
Idaho,17/04/2009,0
Idaho,24/04/2009,0
Idaho,01/05/2009,0
Idaho,08/05/2009,0
Idaho,15/05/2009,0
Idaho,22/05/2009,0
Idaho,29/05/2009,0
Idaho,05/06/2009,0
Idaho,12/06/2009,0
Idaho,19/06/2009,0
Idaho,26/06/2009,0
Idaho,02/07/2009,0
Idaho,10/07/2009,0
Idaho,11/07/2009,0
Idaho,24/07/2009,0
Idaho,31/07/2009,0
Idaho,07/08/2009,0
Idaho,14/08/2009,0
Idaho,21/08/2009,0
Idaho,28/08/2009,0
Idaho,04/09/2009,0
Idaho,11/09/2009,0
Idaho,18/09/2009,0
Idaho,25/09/2009,0
Idaho,02/10/2009,0
Idaho,09/10/2009,0
Idaho,16/10/2009,0
Idaho,23/10/2009,0
Idaho,30/10/2009,0
Idaho,06/11/2009,0
Idaho,13/11/2009,0
Idaho,20/11/2009,0
Idaho,25/11/2009,0
Idaho,04/12/2009,0
Idaho,11/12/2009,0
Idaho,18/12/2009,0
Idaho,23/12/2009,0
Idaho,31/12/2009,0
Idaho,08/01/2010,0
Idaho,15/01/2010,0
Idaho,22/01/2010,0
Idaho,29/01/2010,0
Idaho,05/02/2010,0
Idaho,12/02/2010,0
Idaho,19/02/2010,0
Idaho,26/02/2010,0
Idaho,05/03/2010,0
Idaho,12/03/2010,0
Idaho,19/03/2010,0
Idaho,26/03/2010,0
Idaho,01/04/2010,0
Idaho,09/04/2010,0
Idaho,16/04/2010,0
Idaho,23/04/2010,0
Idaho,30/04/2010,0
Idaho,07/05/2010,0
Idaho,14/05/2010,0
Idaho,21/05/2010,0
Idaho,28/05/2010,0
Idaho,04/06/2010,0
Idaho,11/06/2010,0
Idaho,18/06/2010,0
Idaho,25/06/2010,0
Idaho,02/07/2010,0
Idaho,09/07/2010,0
Idaho,16/07/2010,0
Idaho,23/07/2010,0
Idaho,30/07/2010,0
Idaho,06/08/2010,0
Idaho,13/08/2010,0
Idaho,20/08/2010,0
Idaho,27/08/2010,0
Idaho,03/09/2010,0
Idaho,10/09/2010,0
Idaho,17/09/2010,0
Idaho,24/09/2010,0
Idaho,01/10/2010,0
Idaho,08/10/2010,0
Idaho,15/10/2010,0
Idaho,22/10/2010,0
Idaho,29/10/2010,0
Idaho,05/11/2010,0
Idaho,12/11/2010,0
Idaho,19/11/2010,0
Idaho,24/11/2010,0
Idaho,03/12/2010,0
Idaho,10/12/2010,0
Idaho,17/12/2010,0
Idaho,22/12/2010,0
Idaho,30/12/2010,0
Idaho,07/01/2011,0
Idaho,14/01/2011,0
Idaho,21/01/2011,0
Idaho,28/01/2011,0
Idaho,04/02/2011,0
Idaho,11/02/2011,0
Idaho,18/02/2011,0
Idaho,25/02/2011,0
Idaho,04/03/2011,0
Idaho,11/03/2011,0
Idaho,18/03/2011,0
Idaho,25/03/2011,0
Idaho,01/04/2011,0
Idaho,08/04/2011,0
Idaho,15/04/2011,0
Idaho,21/04/2011,0
Idaho,29/04/2011,0
Idaho,06/05/2011,0
Idaho,13/05/2011,0
Idaho,20/05/2011,0
Idaho,27/05/2011,0
Idaho,03/06/2011,0
Idaho,10/06/2011,0
Idaho,17/06/2011,0
Idaho,24/06/2011,0
Idaho,01/07/2011,0
Idaho,08/07/2011,0
Idaho,15/07/2011,0
Idaho,22/07/2011,0
Idaho,29/07/2011,0
Idaho,05/08/2011,0
Idaho,12/08/2011,0
Idaho,19/08/2011,0
Idaho,26/08/2011,0
Idaho,02/09/2011,0
Idaho,09/09/2011,0
Idaho,16/09/2011,0
Idaho,23/09/2011,0
Idaho,30/09/2011,0
Idaho,07/10/2011,0
Idaho,14/10/2011,0
Idaho,21/10/2011,0
Idaho,28/10/2011,0
Idaho,04/11/2011,0
Idaho,11/11/2011,0
Idaho,18/11/2011,0
Idaho,25/11/2011,0
Idaho,02/12/2011,0
Idaho,09/12/2011,0
Idaho,16/12/2011,0
Idaho,22/12/2011,0
Idaho,29/12/2011,0
Idaho,06/01/2012,0
Idaho,13/01/2012,0
Idaho,20/01/2012,0
Idaho,27/01/2012,0
